,sample,genome_position,time,true_location_0,true_location_1,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_error_1,midpoint_abs_error_1,midpoint_abs_error,midpoint_central,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,arg_error_1,arg_abs_error_1,arg_abs_error,arg_central,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_error_1,window_0_abs_error_1,window_0_abs_error,window_0_central,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_error_1,window_100_abs_error_1,window_100_abs_error,window_100_central
524,39,240702.76097576393,1322,70.09066697479795,46.750483479902776,82.43074275727366,39.244561572232726,-12.340075782475708,12.340075782475708,7.50592190767005,7.50592190767005,14.443556833456386,True,240702.76097576393,64.53175795909527,123.61015124236997,43.093069780816755,111.67636946325499,5.558909015702682,5.558909015702682,3.657413699086021,3.657413699086021,6.654182475039488,False,85.02768440422174,404.40319182515816,35.52877607100991,404.40319182515816,-14.93701742942379,14.93701742942379,11.221707408892868,11.221707408892868,18.682644535978067,True,73.26734039456882,307.83383068878555,34.18661840122425,307.83383068878555,-3.1766734197708644,3.1766734197708644,12.563865078678525,12.563865078678525,12.959242251424905,True
525,362,656154.527881763,215,11.883245981250777,31.80376882037617,7.836857767602865,30.570495951069322,4.046388213647912,4.046388213647912,1.2332728693068482,1.2332728693068482,4.230155971795495,True,656154.527881763,15.312613852839668,26.859844068458017,35.15829505824548,24.266695249268135,-3.429367871588891,3.429367871588891,-3.354526237869308,3.354526237869308,4.797229437835941,False,7.2687293243669755,20.742722825617747,33.497087613592974,17.34348045365542,4.614516656883802,4.614516656883802,-1.693318793216804,1.693318793216804,4.915393423940679,True,8.829375347217436,20.234244071569943,35.14273717598017,17.023328572777267,3.0538706340333412,3.0538706340333412,-3.3389683556040026,3.3389683556040026,4.524912764809517,True
526,277,736077.96912263,1580,30.854711389204738,92.97045204261482,35.365172974543796,68.07761074421913,-4.510461585339058,4.510461585339058,24.892841298395695,24.892841298395695,25.298178029651336,False,736077.96912263,43.80993477246101,177.19984089924284,64.12842859125905,160.0923120164482,-12.955223383256275,12.955223383256275,28.84202345135577,28.84202345135577,31.61803488009061,False,31.124218156051484,168.30367748211057,71.6559815838871,138.42166547845278,-0.2695067668467459,0.2695067668467459,21.314470458727726,21.314470458727726,21.316174254151544,False,40.9607274656414,131.24175813614517,70.28349728055089,110.53308116277074,-10.10601607643666,10.10601607643666,22.686954762063934,22.686954762063934,24.83605196711288,False
527,81,537509.6664832071,1246,71.7424733802401,6.123221670389587,92.8629619527991,9.597833226016276,-21.120488572558997,21.120488572558997,-3.474611555626688,3.474611555626688,21.404391208490136,True,537509.6664832071,63.459825706802185,86.14035693015023,34.554881198826465,77.82404785967701,8.282647673437914,8.282647673437914,-28.431659528436878,28.431659528436878,29.6135360270141,False,93.11998786758616,554.049422933252,7.194939753297025,554.049422933252,-21.377514487346062,21.377514487346062,-1.071718082907438,1.071718082907438,21.404361828980594,True,87.4077832074592,233.58123031447,21.3098674693288,233.58123031447,-15.665309827219104,15.665309827219104,-15.186645798939214,15.186645798939214,21.81825251034568,False
528,190,610493.6511932131,1588,13.206270888479763,73.84770091600869,17.843390036871217,74.54528139268102,-4.637119148391454,4.637119148391454,-0.6975804766723286,0.6975804766723286,4.689295524683113,False,610493.6511932131,28.488739895574625,123.34676282052189,61.14346116793741,111.43840953508553,-15.282469007094862,15.282469007094862,12.70423974807128,12.70423974807128,19.87338840080597,False,17.55160379213557,241.12298511086462,71.7860936337947,204.48018068072875,-4.345332903655807,4.345332903655807,2.061607282213984,2.061607282213984,4.809588613350578,False,14.626078281003139,262.2323356051979,68.12441960722879,218.19850420761065,-1.419807392523376,1.419807392523376,5.723281308779903,5.723281308779903,5.896761990388745,False
529,82,712739.0948783744,1608,15.432874953519566,10.609739790477159,16.187928067516445,45.40020818567217,-0.7550531139968797,0.7550531139968797,-34.79046839519501,34.79046839519501,34.79866084150394,False,712739.0948783744,34.00682798355385,113.13008943972348,41.318012141442054,102.2080916389259,-18.573953030034282,18.573953030034282,-30.708272350964897,30.708272350964897,35.88857369613559,False,13.279306755820867,300.7082792375972,38.98747689122462,300.7082792375972,2.1535681976986982,2.1535681976986982,-28.37773710074746,28.37773710074746,28.459336235078954,False,23.185429542848468,238.08549764537926,38.786995239593566,238.08549764537926,-7.752554589328902,7.752554589328902,-28.17725544911641,28.17725544911641,29.224301998598442,False
530,24,516555.4358188564,959,85.89482540091288,33.72143228368327,77.58104071205518,40.15154217439115,8.313784688857695,8.313784688857695,-6.430109890707882,6.430109890707882,10.510248762958181,False,516555.4358188564,68.81143368323791,43.67785168790877,42.96049700498282,39.4610301292811,17.08339171767497,17.08339171767497,-9.239064721299549,9.239064721299549,19.42170408341883,False,90.78768384665068,243.06583562032216,24.68889264916094,243.06583562032216,-4.892858445737801,4.892858445737801,9.03253963452233,9.03253963452233,10.272625566000375,True,89.05936560503427,110.33784947177841,29.609043582651758,110.33784947177841,-3.164540204121394,3.164540204121394,4.112388701031513,4.112388701031513,5.189032234614883,True
531,123,141169.6054636117,1375,66.75497925459068,80.44858006198113,73.40393783268482,76.04175627554751,-6.648958578094138,6.648958578094138,4.40682378643362,4.40682378643362,7.976762880886505,True,141169.6054636117,57.46804128927568,73.19602320673407,65.0749864051271,66.12940805200081,9.286937965314998,9.286937965314998,15.373593656854027,15.373593656854027,17.960918648489876,False,66.23932812826254,235.4376715271253,79.80497960879234,235.4376715271253,0.5156511263281374,0.5156511263281374,0.643600453188796,0.643600453188796,0.8246924441440581,False,68.447792426124,188.97388201263848,76.65766294488631,188.97388201263848,-1.6928131715333166,1.6928131715333166,3.7909171170948213,3.7909171170948213,4.151706760164932,False
532,238,641897.5448002354,1578,76.08967010248033,80.0895161111793,77.6216235215181,74.98043965910823,-1.5319534190377766,1.5319534190377766,5.109076452071065,5.109076452071065,5.333811345670992,False,641897.5448002354,62.40117214698946,130.3274832949011,66.18929726782842,117.74518540244861,13.688497955490867,13.688497955490867,13.90021884335087,13.90021884335087,19.508743172498946,False,75.6783254847283,177.84417742113348,77.9277595678741,150.9465564343543,0.4113446177520217,0.4113446177520217,2.161756543305188,2.161756543305188,2.200544420609671,False,76.61247291998015,153.1063227730311,76.63594775512078,128.51837181292808,-0.5228028174998229,0.5228028174998229,3.4535683560585113,3.4535683560585113,3.4929152832490002,False
533,399,647126.244337147,1014,37.22557612600363,64.4204980416805,39.72596130665364,60.39107889786217,-2.5003851806500066,2.5003851806500066,4.02941914381833,4.02941914381833,4.742166666006564,False,647126.244337147,39.08235728046743,84.4419437592435,57.71740522664268,76.28960578619765,-1.8567811544637962,1.8567811544637962,6.70309281503782,6.70309281503782,6.955507856553938,False,41.038077979195606,123.87579113322529,57.46006987441529,105.63174390638515,-3.812501853191975,3.812501853191975,6.9604281672652135,6.9604281672652135,7.936165991979453,False,41.97652925195861,117.94869505954733,60.30993442801505,99.19331948545357,-4.750953125954979,4.750953125954979,4.110563613665455,4.110563613665455,6.2823792329826595,False
534,51,57804.980671897436,1330,80.70142155200449,6.254298322690201,91.66024469356606,10.17841595001941,-10.958823141561567,10.958823141561567,-3.924117627329209,3.924117627329209,11.640210642472976,True,57804.980671897436,63.18995702698443,77.7597767227036,36.128211569014496,70.25255990212123,17.51146452502006,17.51146452502006,-29.873913246324296,29.873913246324296,34.62805340269571,False,93.48454605719233,255.95176745713707,7.65082774920416,243.2120308994241,-12.783124505187843,12.783124505187843,-1.3965294265139585,1.3965294265139585,12.859182188391816,True,92.49525832276686,236.10924520540493,8.630867647865252,226.54426571520685,-11.793836770762368,11.793836770762368,-2.3765693251750504,2.3765693251750504,12.03090468471717,True
535,397,675285.4449395481,275,38.118642417005475,17.804878452193755,23.496925214777182,16.3709740267274,14.621717202228293,14.621717202228293,1.4339044254663555,1.4339044254663555,14.691858148080208,True,675285.4449395481,31.178753167917108,53.2072203705763,22.379372231503556,48.070398268233525,6.939889249088367,6.939889249088367,-4.574493779309801,4.574493779309801,8.311922528907278,False,27.729781420330784,35.38170444484388,18.0422940875548,29.168148809410248,10.38886099667469,10.38886099667469,-0.23741563536104593,0.23741563536104593,10.391573460845212,True,32.441247150360084,35.75803766022398,17.97900250973707,29.81658963827057,5.677395266645391,5.677395266645391,-0.17412405754331672,0.17412405754331672,5.680064806068928,True
536,312,235546.88004738645,949,51.388476109598216,12.372663855164777,43.86370662041533,29.594042394309607,7.524769489182887,7.524769489182887,-17.22137853914483,17.22137853914483,18.793563649660907,False,235546.88004738645,49.32637314381169,39.383436147144884,35.59025062298191,35.58121336877297,2.062102965786522,2.062102965786522,-23.217586767817135,23.217586767817135,23.308981186714767,False,38.81597162836574,170.31254814830683,22.787389605788288,170.31254814830683,12.572504481232478,12.572504481232478,-10.41472575062351,10.41472575062351,16.325880723296713,False,43.77963494234517,102.11237375218802,25.16219833888941,102.11237375218802,7.608841167253047,7.608841167253047,-12.789534483724633,12.789534483724633,14.881755817740938,False
537,20,117135.03900051015,192,37.08627503017771,75.14916967042602,32.968504619916935,79.89672122860154,4.117770410260775,4.117770410260775,-4.747551558175516,4.747551558175516,6.284526947126089,True,117135.03900051015,37.21323478571047,27.338324777318466,75.37975583209256,24.698981658488414,-0.1269597555327593,0.1269597555327593,-0.23058616166653678,0.23058616166653678,0.2632275773490389,True,35.896506064444836,26.89854561520025,77.47215645616711,26.89854561520025,1.189768965732874,1.189768965732874,-2.3229867857410937,2.3229867857410937,2.6099459378594054,True,35.70396864402449,26.781745418941963,77.55640407443354,26.781745418941963,1.3823063861532177,1.3823063861532177,-2.407234404007525,2.407234404007525,2.7758869611418677,True
538,37,816681.2486934864,1569,24.97233467107228,91.54012644199264,23.35628927430117,80.58617166336285,1.61604539677111,1.61604539677111,10.953954778629793,10.953954778629793,11.072521303510397,False,816681.2486934864,39.79215445947979,118.21865899614482,60.357505961988146,106.80539184534774,-14.81981978840751,14.81981978840751,31.182620480004495,31.182620480004495,34.525105047789076,False,33.07018842269868,515.4072681853639,85.0387129207412,515.4072681853639,-8.097853751626399,8.097853751626399,6.501413521251436,6.501413521251436,10.38477795415197,False,36.545455327183305,328.11589073325797,82.06077666523046,328.11589073325797,-11.573120656111026,11.573120656111026,9.479349776762177,9.479349776762177,14.95978589121866,False
539,446,847444.3335883585,206,30.900183158687025,30.714279410243876,21.623838481582442,37.54778355987471,9.276344677104582,9.276344677104582,-6.8335041496308335,6.8335041496308335,11.521603600691543,True,847444.3335883585,25.189249001074522,40.77597846202045,34.024690415416906,36.839314491425384,5.710934157612503,5.710934157612503,-3.31041100517303,3.31041100517303,6.601029463330393,True,21.021699323897266,37.08753349600709,37.40560616436635,30.978642332570082,9.878483834789758,9.878483834789758,-6.691326754122471,6.691326754122471,11.931399607952025,True,25.576375723904526,30.96934319555765,32.017608530267054,26.013099760418772,5.323807434782498,5.323807434782498,-1.3033291200231787,1.3033291200231787,5.48102110904034,True
540,245,834564.2569752606,158,84.23308282881594,3.5434728139870595,91.55899333675664,2.6415392300840472,-7.325910507940705,7.325910507940705,0.9019335839030123,0.9019335839030123,7.381222727985397,True,834564.2569752606,86.94574518029418,57.682670388692785,10.046630530262895,52.11377176720705,-2.7126623514782437,2.7126623514782437,-6.503157716275836,6.503157716275836,7.046247037670864,False,92.58089068121882,59.515783281140834,2.2626860503887665,59.515783281140834,-8.34780785240288,8.34780785240288,1.280786763598293,1.280786763598293,8.445490552623202,True,92.74774399794039,58.15776774726516,3.3105728478872614,58.15776774726516,-8.514661169124452,8.514661169124452,0.23289996609979813,0.23289996609979813,8.51784580860707,True
541,304,961168.0403277428,1195,94.66726135834355,79.54400548164011,75.12545021628232,81.28457633193277,19.541811142061235,19.541811142061235,-1.7405708502926558,1.7405708502926558,19.619173519719865,False,961168.0403277428,68.02227107226047,147.821229604686,67.2291235276169,133.55002065709837,26.644990286083086,26.644990286083086,12.314881954023207,12.314881954023207,29.35322511900504,False,77.543955423558,149.31205459840376,77.39534605549524,128.34239561636576,17.12330593478555,17.12330593478555,2.1486594261448744,2.1486594261448744,17.257587996757344,False,77.74010333368196,118.04169379328889,77.03302761031563,102.70194491905987,16.927158024661594,16.927158024661594,2.510977871324485,2.510977871324485,17.112384073008258,False
542,107,749874.2547947558,1775,79.70775012169798,3.5194179796176606,72.94694174757204,10.929525907581636,6.7608083741259435,6.7608083741259435,-7.410107927963976,7.410107927963976,10.030863839955463,False,749874.2547947558,62.264859343462675,192.61643264887593,35.799612122443136,174.0205289047231,17.44289077823531,17.44289077823531,-32.28019414282548,32.28019414282548,36.69148910305973,False,82.4021293215408,552.4340593607359,9.125352206997604,552.4340593607359,-2.694379199842814,2.694379199842814,-5.605934227379944,5.605934227379944,6.219821366748049,False,80.99986091339034,437.71841242521424,13.618917029342814,437.71841242521424,-1.2921107916923518,1.2921107916923518,-10.099499049725154,10.099499049725154,10.181818666299607,False
