,sample,genome_position,time,true_location_0,true_location_1,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_200_estimated_location_0,window_200_variance_in_estimated_location_0,window_200_estimated_location_1,window_200_variance_in_estimated_location_1
248,387,531290.6882174643,1954,54.125952856714584,18.204816339867655,531290.6882174643,49.582233083782285,84.79937997573197,40.44155070570322,84.79937997573197,67.00609901392814,598.2132523069365,61.75186885426574,598.2132523069365,60.61056526867898,330.3577834882704,53.33940537981209,330.3577834882704,53.53208866291956,184.74110107605284,45.11890118948568,184.74110107605284
249,7,520242.97287086386,1483,42.5296574872934,12.46748103320381,520242.97287086386,47.86714700013567,99.44475371211499,38.24582995494407,99.44475371211499,29.372795104526336,391.7289371733607,13.69116226064205,391.7289371733607,34.72812320748526,289.33298997565277,22.35477006126587,289.33298997565277,35.15388963896132,270.0607942165652,24.23400296891472,270.0607942165652
250,563,259899.0169963975,989,89.59610111202942,29.53595369446238,259899.0169963975,68.24748602121082,53.97365903655423,39.678061636455055,53.97365903655423,73.3798709204506,185.19227029775905,57.12677180884779,185.19227029775905,75.86350299044148,90.92643319721958,39.962107947871274,90.92643319721958,74.73243142092532,84.8760039426153,39.81229205500599,84.8760039426153
251,920,864842.3111810192,863,31.76992322428582,41.66038898637815,864842.3111810192,40.227322408787984,31.883123433659893,45.582428642247585,31.883123433659893,43.24792724512617,108.84845747931341,44.006162226076924,108.84845747931341,37.73634121534421,63.27965881774062,46.583099076297366,63.27965881774062,37.895652347601214,60.889846375421236,47.37678265274077,60.889846375421236
252,967,115907.242544671,833,16.31593783453175,53.495557363385736,115907.242544671,31.27041740568838,47.77840503292664,51.18202203961487,47.77840503292664,19.67975270748767,228.14015832645927,52.37647877491924,228.14015832645927,19.662498194978376,217.5244648805896,52.43230954184493,217.5244648805896,23.264606958671713,89.92176011018545,52.22556169699456,89.92176011018545
253,871,476757.86029706715,452,54.17038741481709,4.3813698839306845,476757.86029706715,51.81162218642669,33.64485233246169,22.00123224083528,33.64485233246169,55.128713830457706,206.9356098940851,8.484720217664707,206.9356098940851,48.01763084464539,144.82705279225837,14.477273143171217,144.82705279225837,53.7659190755748,58.25956213122639,15.357342513735318,58.25956213122639
254,403,896599.6282040422,909,90.46336478488215,18.325904304627862,896599.6282040422,66.69634313004967,46.24225009330216,29.837647627425508,46.24225009330216,83.47234517932115,127.91279543231204,11.239619636078478,127.91279543231204,80.40021400202956,111.17659944975227,12.517142659761928,111.17659944975227,78.7274398229466,110.31628136076935,13.411878644943027,110.31628136076935
255,469,632905.6141387181,1457,47.19881965152783,44.79523523707708,632905.6141387181,48.54757704797832,75.07879425183788,43.939141379157064,75.07879425183788,58.48171374781287,410.52787858170126,58.60806653641282,410.52787858170126,52.23194513480188,291.99722285730115,51.46452202668426,291.99722285730115,53.67561941624612,285.4892524597615,48.64587122103586,285.4892524597615
256,504,695638.9354140376,611,72.60127042120818,28.62202158558131,695638.9354140376,62.513967905366066,69.05184822160456,37.50784118255569,69.05184822160456,75.77504795832911,108.71860327598789,35.504988235998795,108.71860327598789,71.14556338551513,85.8701725240595,36.20045682599185,85.8701725240595,69.90515429889734,83.9935427727594,36.78324355057643,83.9935427727594
257,575,656905.0114989594,923,63.715617293395866,18.516689473039502,656905.0114989594,57.02569066311874,30.11048792508563,36.47057547601838,30.11048792508563,60.88174933217965,125.87348289857806,21.18048112745823,125.87348289857806,65.51308282909076,77.25396656845311,28.625163406337844,77.25396656845311,64.08952047610131,58.94747851900278,33.231278301544265,58.94747851900278
