,sample,genome_position,time,true_location_0,true_location_1,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0
771,179,167952.56854451256,28,27.224189264054907,70.58521538033841,24.748444170430055,74.16511540097949,2.4757450936248517,2.4757450936248517,167952.56854451256,24.225996295380106,10.437721695394213,74.75370410767795,10.437721695394213,2.9981929686748003,2.9981929686748003,24.67489643332001,10.70462812966708,74.50574872671447,10.70462812966708,2.5492928307348954,2.5492928307348954,24.655472338381923,10.703059401654329,74.47495053136679,10.703059401654329,2.568716925672984,2.568716925672984
772,136,608167.8123425766,388,9.164610787031016,92.09778449619962,14.471748664455502,83.22421396987683,-5.307137877424486,5.307137877424486,608167.8123425766,16.491972164351417,44.50170383446142,74.94436302977593,44.50170383446142,-7.3273613773204005,7.3273613773204005,14.525178343581283,102.40479393758169,80.3003610538541,102.40479393758169,-5.360567556550267,5.360567556550267,12.38659733991237,67.66064655386492,77.73015453382057,67.66064655386492,-3.2219865528813543,3.2219865528813543
773,404,455026.0180199188,1835,12.316144067223401,27.70615707777113,13.705256604601242,38.569797055057904,-1.3891125373778408,1.3891125373778408,455026.0180199188,34.48337595235067,118.18533535557,42.19010432960734,118.18533535557,-22.16723188512727,22.16723188512727,12.494207297842912,692.2214051111862,33.48071082217443,692.2214051111862,-0.1780632306195109,0.1780632306195109,12.840872878123037,626.9191766216753,43.39748050583417,626.9191766216753,-0.5247288108996351,0.5247288108996351
774,169,643556.425543695,776,67.70153682371816,11.235399016020102,64.78586666832112,11.22169705019428,2.915670155397038,2.915670155397038,643556.425543695,59.36877738437321,74.47290355509169,28.382446126561753,74.47290355509169,8.332759439344947,8.332759439344947,67.76719993811379,286.83161081682084,12.73185773139461,286.83161081682084,-0.06566311439563322,0.06566311439563322,77.67164205455644,190.66681151215334,9.548606593647667,190.66681151215334,-9.970105230838286,9.970105230838286
775,52,9945.7973381879,559,13.993188870361466,6.731655505116731,32.555667520457575,12.609138717722058,-18.56247865009611,18.56247865009611,9945.7973381879,26.713909361341386,57.40345106539698,25.23645032768653,57.40345106539698,-12.72072049097992,12.72072049097992,29.95784958194825,211.61225919496513,9.948811487730357,211.61225919496513,-15.964660711586783,15.964660711586783,29.783152507660287,211.5937841095299,9.97937120506846,211.5937841095299,-15.78996363729882,15.78996363729882
776,238,694830.7600651146,597,79.58649916916248,85.97046875753479,82.17144541304015,69.96143314565437,-2.584946243877667,2.584946243877667,694830.7600651146,72.28712859447361,60.40769454731372,68.08602675050635,60.40769454731372,7.299370574688865,7.299370574688865,81.30480230520863,109.27585210814411,77.6946605756909,109.27585210814411,-1.7183031360461456,1.7183031360461456,74.80262770106559,77.31083907019067,73.57011997918379,77.31083907019067,4.783871468096891,4.783871468096891
777,165,267638.2393737843,68,70.79579330469589,1.8360823784788245,74.29613748505383,5.705574572792985,-3.500344180357942,3.500344180357942,267638.2393737843,72.19424429377491,17.280821974713625,6.933386844008943,17.280821974713625,-1.3984509890790235,1.3984509890790235,73.96724936333509,20.285949149628255,5.82662480032033,20.285949149628255,-3.171456058639194,3.171456058639194,73.11331774768446,19.91022138512981,6.5755341880707086,19.91022138512981,-2.317524442988571,2.317524442988571
778,204,358555.1862778575,121,67.34569169869651,62.97557662034517,70.70573683395715,67.84370220517246,-3.360045135260634,3.360045135260634,358555.1862778575,73.21057205840799,15.80096803026073,66.19841681187899,15.80096803026073,-5.864880359711478,5.864880359711478,72.02757230369674,24.97723000912616,67.5954839392042,24.97723000912616,-4.681880605000231,4.681880605000231,71.79014915680047,24.92648813383653,67.75981459427553,24.92648813383653,-4.444457458103955,4.444457458103955
779,315,618887.8615702986,331,14.387140768772955,52.28527701110706,14.229262548861504,36.61843762548996,0.157878219911451,0.157878219911451,618887.8615702986,20.046095114072074,39.81268488979836,42.578618635130226,39.81268488979836,-5.658954345299119,5.658954345299119,13.163484205763751,86.05220597789754,39.015288954088724,86.05220597789754,1.2236565630092038,1.2236565630092038,12.979233475976116,84.82898526479909,39.14482593349187,84.82898526479909,1.407907292796839,1.407907292796839
780,158,256640.9363989668,1821,76.22828685559091,24.707756486045934,75.31884251351954,44.41297951549882,0.9094443420713674,0.9094443420713674,256640.9363989668,60.46523098805752,87.64473164073658,39.48502358629883,87.64473164073658,15.763055867533389,15.763055867533389,67.32792624610681,309.377125412551,43.71731226999643,309.377125412551,8.900360609484096,8.900360609484096,69.13039053856309,264.7124856796242,40.04258232486223,264.7124856796242,7.097896317027818,7.097896317027818
781,334,13421.869009404452,1725,48.23505972880869,74.77674532276113,32.00095680833771,45.30540265968167,16.23410292047098,16.23410292047098,13421.869009404452,44.62560928024365,76.50554982504265,61.650582409373015,76.50554982504265,3.609450448565042,3.609450448565042,25.768671273540075,674.511189489295,42.484884124250755,674.511189489295,22.466388455268618,22.466388455268618,28.005052190544728,595.8308989334954,45.71869895281111,595.8308989334954,20.230007538263965,20.230007538263965
782,148,305623.35272390494,1421,46.875572599277945,28.833298016784184,76.54147077966552,37.278910574716924,-29.665898180387572,29.665898180387572,305623.35272390494,55.02105347587691,47.64725558344116,39.87752507803579,47.64725558344116,-8.145480876598967,8.145480876598967,65.78926653742813,209.90182696019085,30.800738764991188,209.90182696019085,-18.91369393815019,18.91369393815019,67.52884226239145,165.85990024115085,30.63450578305695,165.85990024115085,-20.653269663113505,20.653269663113505
783,284,594635.2142565731,1067,44.686824714231314,60.661597439364314,33.136471313105865,54.22752187068595,11.550353401125449,11.550353401125449,594635.2142565731,40.605847673561,68.42320867049787,56.66503358552773,68.42320867049787,4.080977040670312,4.080977040670312,42.295920186494754,215.10378210002847,55.87654681237176,215.10378210002847,2.3909045277365593,2.3909045277365593,49.54350942511978,194.93411965374173,51.22479526215983,194.93411965374173,-4.856684710888466,4.856684710888466
784,44,375240.8500288723,1549,50.434903509969686,94.30302334471854,40.764692361937996,79.10028171547742,9.67021114803169,9.67021114803169,375240.8500288723,45.80328120109361,73.53611873860842,64.76622400596644,73.53611873860842,4.631622308876075,4.631622308876075,32.74657031505284,423.61184869058485,81.56657185773835,423.61184869058485,17.688333194916844,17.688333194916844,46.33024117263626,157.26901484854608,77.31227217327458,157.26901484854608,4.104662337333423,4.104662337333423
785,304,383483.0360083721,1999,69.0856355615409,21.54998192548469,75.31884251351954,44.41297951549882,-6.233206951978644,6.233206951978644,383483.0360083721,60.2865664194106,170.49559524254923,39.60413767352441,170.49559524254923,8.7990691421303,8.7990691421303,77.23987544826004,339.6919039015188,33.05695441836506,339.6919039015188,-8.15423988671914,8.15423988671914,64.97417966794862,282.35031691215494,35.451928696772015,282.35031691215494,4.111455893592279,4.111455893592279
786,141,361152.3039912562,1928,26.66570724763219,46.14192176260266,16.101314075244122,53.90030226855721,10.564393172388069,10.564393172388069,361152.3039912562,36.50569252452114,130.03366475420341,48.17665562436558,130.03366475420341,-9.839985276888946,9.839985276888946,26.926763960918763,381.8975846571807,66.47305281672492,381.8975846571807,-0.2610567132865711,0.2610567132865711,31.655139829069626,277.8998147581481,66.38305745247729,277.8998147581481,-4.989432581437434,4.989432581437434
787,58,34964.493449875736,783,91.63232727976109,85.45566929697966,75.03826588521822,83.8352252294285,16.594061394542862,16.594061394542862,34964.493449875736,73.3107562607692,39.54245785046667,68.42286056290423,39.54245785046667,18.32157101899189,18.32157101899189,74.29924852407854,99.19390253544854,79.08561383343502,99.19390253544854,17.33307875568255,17.33307875568255,73.81498496358584,88.07921748805286,78.70326284066161,88.07921748805286,17.817342316175242,17.817342316175242
788,355,451219.83094234916,1023,10.107386338915349,34.2640861586811,13.705256604601242,38.569797055057904,-3.597870265685893,3.597870265685893,451219.83094234916,28.95293888552282,66.18675967890428,46.63361779902774,66.18675967890428,-18.845552546607472,18.845552546607472,12.494207297824873,235.47140511175525,33.48071082217357,235.47140511175525,-2.3868209589095244,2.3868209589095244,12.84120015177378,175.79241925890068,43.39794917049253,175.79241925890068,-2.733813812858431,2.733813812858431
789,97,160579.83161308343,1476,5.340563803383179,35.425384900799195,28.281990674524227,51.80566165644331,-22.941426871141047,22.941426871141047,160579.83161308343,29.199730820119356,119.61960629787058,48.715337342661094,119.61960629787058,-23.859167016736176,23.859167016736176,19.815812083091792,306.0407211751224,45.45364928888829,306.0407211751224,-14.475248279708612,14.475248279708612,21.807809419431333,212.50394974529962,48.43752664066161,212.50394974529962,-16.467245616048153,16.467245616048153
790,382,150919.26956079004,291,84.47342751794751,64.08498646062621,75.81112468770476,70.37633614890821,8.662302830242751,8.662302830242751,150919.26956079004,77.18690093288465,25.434359309788533,65.43230258739393,25.434359309788533,7.286526585062859,7.286526585062859,76.61813624113378,48.078724795034134,69.7468982310184,48.078724795034134,7.85529127681373,7.85529127681373,75.0778351312132,44.62289796464768,68.02865744503836,44.62289796464768,9.395592386734307,9.395592386734307
791,303,901041.3760472622,897,67.93832702775035,58.571324871494724,65.29375053857997,34.34935860609117,2.644576489170376,2.644576489170376,901041.3760472622,62.904579993998986,62.49519804428123,53.41138488266172,62.49519804428123,5.033747033751361,5.033747033751361,66.57274380285735,341.03678686746036,32.841939190264064,341.03678686746036,1.365583224893001,1.365583224893001,68.50157095493113,145.75603523112818,50.48307400385541,145.75603523112818,-0.5632439271807783,0.5632439271807783
792,112,875234.8556438237,730,30.550251631645065,10.513813967097997,49.13458033770252,20.76599871069072,-18.58432870605746,18.58432870605746,875234.8556438237,42.923602350521676,56.90923811425499,31.701801015703495,56.90923811425499,-12.373350718876612,12.373350718876612,46.500680335902594,140.33367965198468,20.264977818487445,140.33367965198468,-15.95042870425753,15.95042870425753,41.09761110259588,115.46299834901828,26.363994885888896,115.46299834901828,-10.547359470950813,10.547359470950813
793,486,893464.603363766,175,32.652229453382205,44.40933483054915,28.246576183082464,52.675885484166095,4.405653270299741,4.405653270299741,893464.603363766,27.70109102328202,19.8904747053529,47.43209251307559,19.8904747053529,4.951138430100183,4.951138430100183,27.593927180420106,35.59811855021213,51.27325736748402,35.59811855021213,5.0583022729620986,5.0583022729620986,27.764829769719544,35.5810210766956,51.23270087227942,35.5810210766956,4.887399683662661,4.887399683662661
794,285,918640.7628224363,1984,75.71403613482563,82.26724672671185,73.5774697360531,84.98459617260353,2.13656639877253,2.13656639877253,918640.7628224363,63.88278822599499,298.9849148018005,66.36434557801446,298.9849148018005,11.83124790883064,11.83124790883064,77.73001446327386,589.3261752999186,83.60426549403749,589.3261752999186,-2.0159783284482273,2.0159783284482273,77.0035883628789,549.337689927023,77.71565908718767,549.337689927023,-1.2895522280532674,1.2895522280532674
795,385,657385.7549198153,405,46.54396287967493,57.38140622733365,53.79605963382157,49.70627185827926,-7.252096754146642,7.252096754146642,657385.7549198153,46.21942654955067,38.347784732089785,54.96909814765344,38.347784732089785,0.32453633012426053,0.32453633012426053,48.710391873734935,123.64544633683423,51.42219460315494,123.64544633683423,-2.1664289940600057,2.1664289940600057,50.17078377496086,93.87590069171725,54.41571304596699,93.87590069171725,-3.626820895285931,3.626820895285931
796,428,962227.991466964,551,46.86365380047009,13.909002709029458,38.2465559611672,17.890036170111944,8.617097839302886,8.617097839302886,962227.991466964,44.722638563643834,31.188574893114374,26.44422662053323,31.188574893114374,2.141015236826256,2.141015236826256,40.48335437285937,78.32358719498211,22.28773903616661,78.32358719498211,6.380299427610723,6.380299427610723,40.71616500379651,76.58350587600411,21.543760401782627,76.58350587600411,6.147488796673578,6.147488796673578
797,323,573584.7980103231,964,65.69959125286907,51.68933062923582,66.31817680170172,56.97413988097933,-0.6185855488326553,0.6185855488326553,573584.7980103231,62.3880693134319,77.25099896611785,54.03704220539717,77.25099896611785,3.3115219394371707,3.3115219394371707,64.23825452884164,223.19648322818685,55.20309721508985,223.19648322818685,1.4613367240274329,1.4613367240274329,63.11884033177043,212.43994398702864,53.251584692449455,212.43994398702864,2.580750921098641,2.580750921098641
798,47,955431.1348483709,1291,65.81899354875337,4.396273155748474,85.56789845796581,10.192859621884601,-19.748904909212442,19.748904909212442,955431.1348483709,62.45274108108578,72.70783662742187,34.755517807680164,72.70783662742187,3.366252467667586,3.366252467667586,82.52788761788324,246.86750519227422,11.39956077079429,246.86750519227422,-16.70889406912987,16.70889406912987,82.63441018602649,230.1674844925435,12.79634881888462,230.1674844925435,-16.815416637273117,16.815416637273117
