,sample,genome_position,time,true_location_0,true_location_1,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_10_estimated_location_0,window_10_variance_in_estimated_location_0,window_10_estimated_location_1,window_10_variance_in_estimated_location_1,window_10_error_0,window_10_abs_error_0,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0
404,261,598241.1556789173,991,128.70995600824713,131.13429248522456,144.82925216473643,139.45221831641723,-16.1192961564893,16.1192961564893,598241.1556789173,146.35964403321344,139.7401201047181,144.95250719640453,139.7401201047181,-17.64968802496631,17.64968802496631,145.39735616577883,222.75877663885217,141.38841201896366,222.75877663885217,-16.687400157531698,16.687400157531698,145.39884845609222,222.72758070194632,141.342217662335,222.72758070194632,-16.68889244784509,16.68889244784509,145.93506839790723,183.80500843786132,143.7941157968956,183.80500843786132,-17.225112389660097,17.225112389660097
405,194,237370.94805543756,1106,167.9961628852317,142.30634575014219,147.53013600001822,138.4118905162886,20.466026885213495,20.466026885213495,237370.94805543756,150.82121769018394,86.66994796901061,149.5463453308303,86.66994796901061,17.17494519504777,17.17494519504777,150.1856010205809,302.8588730001255,142.55367405566494,302.8588730001255,17.810561864650822,17.810561864650822,146.9599879082387,248.85585501369485,145.53341403859935,248.85585501369485,21.03617497699301,21.03617497699301,150.1221427665281,137.79822143899673,148.62842235319803,137.79822143899673,17.874020118703612,17.874020118703612
406,114,359643.74672197376,1740,127.04264826218856,179.50255651469362,147.71634270240182,150.30563899647643,-20.673694440213254,20.673694440213254,359643.74672197376,147.54245786032368,83.03951822540238,153.73964872053017,83.03951822540238,-20.499809598135116,20.499809598135116,147.32076240437956,250.4631817314173,151.58466493951232,250.4631817314173,-20.278114142191,20.278114142191,148.15886097050625,241.87692470792328,150.84232344860453,241.87692470792328,-21.11621270831769,21.11621270831769,149.38519354794963,185.1137646706914,156.13750066911143,185.1137646706914,-22.342545285761062,22.342545285761062
407,298,36184.48874245383,1168,164.89489966249027,139.8961273908353,152.2592730961614,144.3478448262854,12.635626566328881,12.635626566328881,36184.48874245383,150.506622403645,86.97823101952629,149.67509188527748,86.97823101952629,14.388277258845278,14.388277258845278,149.8149219659841,290.96714365666276,142.59857395950579,290.96714365666276,15.079977696506177,15.079977696506177,149.45128385181417,290.4596477719729,142.70854427363432,290.4596477719729,15.443615810676107,15.443615810676107,150.5221826870471,161.24215655009306,148.37562885900402,161.24215655009306,14.372716975443183,14.372716975443183
408,427,963539.3843658041,1639,141.90466434937562,104.55075823292941,132.19229273368123,133.6676535965874,9.712371615694394,9.712371615694394,963539.3843658041,144.73331266261775,254.08281216989576,137.76205863301888,254.08281216989576,-2.8286483132421267,2.8286483132421267,131.90221697856492,896.4059366493664,134.32647544600485,896.4059366493664,10.0024473708107,10.0024473708107,131.90221697851075,896.4059366488802,134.32647544603947,896.4059366488802,10.002447370864871,10.002447370864871,133.7383350566425,883.5493482744628,134.63836962803126,883.5493482744628,8.16632929273311,8.16632929273311
409,75,13083.295015833162,418,130.44187862132526,155.5426951377028,144.6489269673131,162.30336368071295,-14.207048345987829,14.207048345987829,13083.295015833162,142.49483659441285,44.900533871129234,153.72256770785,44.900533871129234,-12.052957973087587,12.052957973087587,147.70843907536965,91.81862078652325,160.6120953241769,91.81862078652325,-17.266560454044395,17.266560454044395,147.70843907542843,91.8186207921601,160.6120953241101,91.8186207921601,-17.26656045410317,17.26656045410317,148.27302941955162,88.43744236512708,160.38107581345983,88.43744236512708,-17.83115079822636,17.83115079822636
410,139,244029.81804489632,154,165.38736679060332,146.57164915686303,168.53097683063382,150.5259645681533,-3.143610040030495,3.143610040030495,244029.81804489632,164.50097980932745,27.36202802910768,147.5319310451541,27.36202802910768,0.8863869812758765,0.8863869812758765,166.35524244849242,36.6430330813336,147.79750875805485,36.6430330813336,-0.9678756578890955,0.9678756578890955,166.29528077185012,36.625393344183976,147.8474754130245,36.625393344183976,-0.9079139812467929,0.9079139812467929,166.2516762717531,35.28383169606402,147.8848205567516,35.28383169606402,-0.8643094811497747,0.8643094811497747
411,250,412988.1764224945,122,151.31523223069323,148.4318075013152,149.18012900729272,159.93968670493,2.135103223400506,2.135103223400506,412988.1764224945,148.63330418354622,29.281244094854106,157.75369185750063,29.281244094854106,2.681928047147011,2.681928047147011,149.75473626439023,40.027017859949154,159.1899893286294,40.027017859949154,1.5604959663029945,1.5604959663029945,149.8409290232826,39.02747422913651,158.9841111404052,39.02747422913651,1.4743032074106281,1.4743032074106281,147.8150781241607,32.30810166304083,157.5151178921282,32.30810166304083,3.500154106532534,3.500154106532534
412,430,452930.44574320683,1430,130.59303825922126,171.79939651169,139.09636664534816,153.70094291400372,-8.503328386126896,8.503328386126896,452930.44574320683,146.97472075599384,77.06023933656203,153.8470728411458,77.06023933656203,-16.381682496772584,16.381682496772584,140.99629284072603,323.26073636698794,158.55671993036293,323.26073636698794,-10.403254581504768,10.403254581504768,140.7660850286145,322.8112624674925,157.70115819374183,322.8112624674925,-10.173046769393238,10.173046769393238,145.61370556270418,175.90569958279866,154.48130454773357,175.90569958279866,-15.020667303482924,15.020667303482924
413,1,626343.3487206922,362,124.17236731562393,143.51946946368483,136.1007687916561,148.8368606028799,-11.928401476032164,11.928401476032164,626343.3487206922,140.25218028880124,36.571785742955385,147.8077923544095,36.571785742955385,-16.07981297317731,16.07981297317731,138.28974440977134,83.24972742742226,145.18132161414582,83.24972742742226,-14.117377094147415,14.117377094147415,138.48619996975128,83.04999352152214,145.48197335215758,83.04999352152214,-14.313832654127353,14.313832654127353,139.4619099502627,74.31799478741195,146.65186385080716,74.31799478741195,-15.289542634638778,15.289542634638778
414,315,976716.7908920533,1668,141.09427354913768,116.5310950631321,147.53013600001822,138.4118905162886,-6.435862450880535,6.435862450880535,976716.7908920533,147.13801202254325,137.20175536305862,146.71863109758397,137.20175536305862,-6.043738473405568,6.043738473405568,145.59274613734118,652.1408519571157,136.31316537677216,652.1408519571157,-4.498472588203498,4.498472588203498,145.6132537374299,650.3195425192051,136.26181807758311,650.3195425192051,-4.518980188292204,4.518980188292204,151.12572794178618,590.6151085180421,145.6068377154738,590.6151085180421,-10.031454392648499,10.031454392648499
415,104,691490.2236638311,713,126.91139264256141,135.9409553372011,143.27090315460924,142.91323263953197,-16.359510512047834,16.359510512047834,691490.2236638311,144.9621507284885,40.73500966390424,150.09294007175308,40.73500966390424,-18.050758085927086,18.050758085927086,145.14545795185447,125.52900142560074,144.35850522745028,125.52900142560074,-18.234065309293058,18.234065309293058,143.11924765382145,109.85649281478176,144.62429955158302,109.85649281478176,-16.207855011260037,16.207855011260037,144.35121301656446,75.71168322148786,147.7448824546697,75.71168322148786,-17.439820374003048,17.439820374003048
416,14,295787.0971766169,1784,156.38986697644637,106.66187097259156,143.81634061839418,126.60184581848515,12.573526358052192,12.573526358052192,295787.0971766169,144.73331266266894,335.6453121720601,137.76205863309127,335.6453121720601,11.656554313777434,11.656554313777434,143.8175060428844,722.7187186771436,126.60159058328063,722.7187186771436,12.572360933561981,12.572360933561981,143.81750604279495,722.7187186774742,126.60159058317504,722.7187186774742,12.572360933651424,12.572360933651424,143.74403047658947,618.6136600350693,126.61768219995116,618.6136600350693,12.645836499856898,12.645836499856898
417,265,785625.6112796008,1978,117.37462148307564,181.93686707145284,147.71634270240182,150.30563899647643,-30.341721219326175,30.341721219326175,785625.6112796008,147.6592090289306,183.47397271565197,154.25965445252697,183.47397271565197,-30.28458754585496,30.28458754585496,147.907456255299,357.9778937588161,147.74290005138275,357.9778937588161,-30.532834772223353,30.532834772223353,147.9565504198733,355.4167561116021,147.7563715703681,355.4167561116021,-30.581928936797667,30.581928936797667,149.31167258749682,245.30739156445136,155.88877477994,245.30739156445136,-31.937051104421172,31.937051104421172
418,469,489251.62392870494,182,127.88664472682593,133.8379036680768,137.2789807678206,142.78725709356172,-9.392336040994664,9.392336040994664,489251.62392870494,138.75249659078636,46.5877974688702,141.00647610437062,46.5877974688702,-10.86585186396043,10.86585186396043,138.34731549964584,59.4633423595065,140.21104746774733,59.4633423595065,-10.46067077281991,10.46067077281991,138.01957470530223,58.83576023828279,140.7691500492728,58.83576023828279,-10.132929978476298,10.132929978476298,138.32796699783992,57.4808139297463,141.30864568301192,57.4808139297463,-10.441322271013988,10.441322271013988
419,416,125580.03121824091,158,130.6255789849498,160.42521995843822,133.98001941752142,158.7156948611165,-3.3544404325716073,3.3544404325716073,125580.03121824091,137.6576543700325,18.238170456169108,158.3746053835508,18.238170456169108,-7.032075385082692,7.032075385082692,133.95264415044375,29.955462847954976,158.3923536467365,29.955462847954976,-3.3270651654939343,3.3270651654939343,133.49420492272768,26.092998347359007,158.98715198298905,26.092998347359007,-2.868625937777864,2.868625937777864,133.84031458474584,25.367753074786393,158.90448559230072,25.367753074786393,-3.214735599796029,3.214735599796029
420,154,664396.3229110028,375,171.9084173008865,141.03925703415783,161.97055410582016,138.1130552907731,9.937863195066342,9.937863195066342,664396.3229110028,156.97395646072468,47.38457354998679,142.38622833987066,47.38457354998679,14.934460840161819,14.934460840161819,159.82410602077255,114.11483595864965,139.4278477818267,114.11483595864965,12.084311280113951,12.084311280113951,158.93854435597225,105.89389350484548,138.20802669410625,105.89389350484548,12.969872944914243,12.969872944914243,157.0274054384675,72.7196716639278,142.85176580827567,72.7196716639278,14.881011862419001,14.881011862419001
